0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(18, 0.0)","(18, 0.0)","(18, 0.0)","(18, 0.0)","(17, 0.0)","(17, 0.0)","(16, 0.0)","(16, 0.0)","(17, 0.0)","(18, 0.5263157894736842)","(19, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)"
"(19, 0.0)","(19, 0.0)","(19, 0.0)","(19, 0.0)","(18, 0.0)","(18, 0.0)","(17, 0.0)","(17, 0.0)","(18, 0.0)","(19, 0.5263157894736842)","(20, 0.5263157894736842)","(20, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)"
"(19, 0.0)","(19, 0.0)","(19, 0.0)","(19, 0.0)","(19, 0.0)","(18, 0.0)","(18, 0.0)","(18, 0.0)","(19, 0.0)","(20, 0.5263157894736842)","(21, 0.5263157894736842)","(21, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)"
"(20, 0.0)","(20, 0.0)","(20, 0.0)","(20, 0.0)","(20, 0.0)","(19, 0.0)","(19, 0.0)","(19, 0.0)","(20, 0.0)","(21, 0.5263157894736842)","(22, 0.5263157894736842)","(22, 0.5263157894736842)","(23, 0.5263157894736842)","(23, 0.5263157894736842)","(23, 0.5263157894736842)","(23, 0.5263157894736842)","(23, 0.5263157894736842)","(23, 0.5263157894736842)","(24, 0.5263157894736842)","(24, 0.5263157894736842)"
"(21, 0.0)","(21, 0.0)","(21, 0.0)","(21, 0.0)","(21, 0.0)","(20, 0.0)","(20, 0.0)","(20, 0.0)","(21, 0.0)","(22, 0.5263157894736842)","(23, 0.5263157894736842)","(23, 0.5263157894736842)","(24, 0.5263157894736842)","(24, 0.5263157894736842)","(24, 0.5263157894736842)","(24, 0.5263157894736842)","(24, 0.5263157894736842)","(25, 0.5263157894736842)","(25, 0.5263157894736842)","(25, 0.5263157894736842)"
"(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.0)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)","(9, 0.5263157894736842)"
"(22, 0.0)","(22, 0.0)","(22, 0.0)","(22, 0.0)","(22, 0.0)","(21, 0.0)","(20, 0.0)","(20, 0.0)","(22, 0.0)","(23, 0.5263157894736842)","(24, 0.5263157894736842)","(25, 0.5263157894736842)","(25, 0.5263157894736842)","(26, 0.5263157894736842)","(26, 0.5263157894736842)","(26, 0.5263157894736842)","(26, 0.5263157894736842)","(26, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)"
"(23, 0.0)","(23, 0.0)","(23, 0.0)","(23, 0.0)","(22, 0.0)","(21, 0.0)","(21, 0.0)","(21, 0.0)","(22, 0.0)","(24, 0.5263157894736842)","(25, 0.5263157894736842)","(26, 0.5263157894736842)","(26, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)"
"(23, 0.0)","(23, 0.0)","(23, 0.0)","(23, 0.0)","(23, 0.0)","(22, 0.0)","(21, 0.0)","(21, 0.0)","(23, 0.0)","(24, 0.5263157894736842)","(25, 0.5263157894736842)","(26, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)"
"(24, 0.0)","(24, 0.0)","(24, 0.0)","(24, 0.0)","(23, 0.0)","(22, 0.0)","(21, 0.0)","(21, 0.0)","(23, 0.0)","(24, 0.5263157894736842)","(26, 0.5263157894736842)","(26, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)"
"(24, 0.0)","(24, 0.0)","(24, 0.0)","(24, 0.0)","(23, 0.0)","(22, 0.0)","(21, 0.0)","(21, 0.0)","(23, 0.0)","(24, 0.5263157894736842)","(26, 0.5263157894736842)","(26, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)"
"(24, 0.0)","(24, 0.0)","(24, 0.0)","(24, 0.0)","(23, 0.0)","(22, 0.0)","(21, 0.0)","(21, 0.0)","(23, 0.0)","(24, 0.5263157894736842)","(26, 0.5263157894736842)","(27, 0.5263157894736842)","(27, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(29, 0.5263157894736842)"
"(24, 0.0)","(24, 0.0)","(24, 0.0)","(24, 0.0)","(23, 0.0)","(22, 0.0)","(21, 0.0)","(21, 0.0)","(23, 0.0)","(25, 0.5263157894736842)","(26, 0.5263157894736842)","(27, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(29, 0.5263157894736842)","(29, 0.5263157894736842)","(29, 0.5263157894736842)","(29, 0.5263157894736842)","(29, 0.5263157894736842)"
"(25, 0.0)","(25, 0.0)","(25, 0.0)","(25, 0.0)","(24, 0.0)","(23, 0.0)","(22, 0.0)","(22, 0.0)","(24, 0.0)","(25, 0.5263157894736842)","(27, 0.5263157894736842)","(28, 0.5263157894736842)","(28, 0.5263157894736842)","(29, 0.5263157894736842)","(29, 0.5263157894736842)","(29, 0.5263157894736842)","(29, 0.5263157894736842)","(30, 0.5263157894736842)","(30, 0.5263157894736842)","(30, 0.5263157894736842)"
"(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(8, 0.0)","(9, 0.0)","(9, 0.0)","(10, 0.0)","(9, 0.0)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)","(10, 0.5263157894736842)"
"(26, 0.0)","(26, 0.0)","(26, 0.0)","(26, 0.0)","(25, 0.0)","(24, 0.0)","(23, 0.0)","(23, 0.0)","(25, 0.0)","(27, 0.5263157894736842)","(29, 0.5263157894736842)","(30, 0.5263157894736842)","(31, 0.5263157894736842)","(31, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)"
"(26, 0.0)","(26, 0.0)","(26, 0.0)","(26, 0.0)","(25, 0.0)","(24, 0.0)","(23, 0.0)","(23, 0.0)","(26, 0.0)","(27, 0.5263157894736842)","(29, 0.5263157894736842)","(31, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(33, 0.5263157894736842)","(33, 0.5263157894736842)","(33, 0.5263157894736842)"
"(27, 0.0)","(27, 0.0)","(27, 0.0)","(27, 0.0)","(25, 0.0)","(24, 0.0)","(23, 0.0)","(23, 0.0)","(26, 0.0)","(27, 0.5263157894736842)","(29, 0.5263157894736842)","(31, 0.5263157894736842)","(32, 0.5263157894736842)","(32, 0.5263157894736842)","(33, 0.5263157894736842)","(33, 0.5263157894736842)","(33, 0.5263157894736842)","(33, 0.5263157894736842)","(33, 0.5263157894736842)","(33, 0.5263157894736842)"
